Accession,Description
BDA40081.1,glutamyl-tRNA(Gln) amidotransferase subunit A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40080.1,NADH-quinone oxidoreductase subunit L [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40079.1,hypothetical protein CPARK_000091800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40078.1,hypothetical protein CPARK_000091700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40077.1,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40076.1,sepiapterin reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40075.1,GTP cyclohydrolase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40074.1,tRNA-dihydrouridine(20/20a) synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40073.1,hypothetical protein CPARK_000091200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40072.1,protein Thf1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40071.1,hypothetical protein CPARK_000091000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40070.1,hypothetical protein CPARK_000090900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40069.1,hypothetical protein CPARK_000090800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40068.1,hypothetical protein CPARK_000090700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40067.1,hypothetical protein CPARK_000090600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40066.1,RNA helicase CrhR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40065.1,ribosomal protein S12 methylthiotransferase RimO [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40064.1,7-carboxy-7-deazaguanine synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40063.1,nicotinamide-nucleotide amidohydrolase PncC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40062.1,bifunctional protein pyrR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40061.1,ribosomal RNA small subunit methyltransferase D [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40060.1,valine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40059.1,putative oxidoreductase/MSMEI_1564 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40058.1,hypothetical protein CPARK_000089700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40057.1,type III pantothenate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40056.1,hypothetical protein CPARK_000089500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40055.1,hypothetical protein CPARK_000089400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40054.1,putative metal chaperone YciC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40053.1,photosystem I reaction center subunit IX [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40052.1,photosystem I reaction center subunit III [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40051.1,single-stranded DNA-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40050.1,rod shape-determining protein MreB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40049.1,hypothetical protein CPARK_000088800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40048.1,hypothetical protein CPARK_000088700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40047.1,hypothetical protein CPARK_000088600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40046.1,metalloprotease PmbA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40045.1,Lon protease 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40044.1,hypothetical protein CPARK_000088300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40043.1,ferredoxin-3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40042.1,vitamin B12 import ATP-binding protein BtuD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40041.1,hypothetical protein CPARK_000088000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40040.1,ferredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40039.1,protein HesB
BDA40038.1,protein HesA
BDA40037.1,nitrogenase-stabilizing/protective protein NifW 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40036.1,hypothetical protein CPARK_000087500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40035.1,hypothetical protein CPARK_000087400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40034.1,nitrogenase molybdenum-iron protein beta chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40033.1,nitrogenase molybdenum-iron protein alpha chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40032.1,nitrogenase molybdenum-iron protein beta chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40031.1,nitrogenase molybdenum-iron protein alpha chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40030.1,nitrogenase iron protein 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40029.1,Fe/S biogenesis protein NfuA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40028.1,cysteine desulfurase NifS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40027.1,hypothetical protein CPARK_000125500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40026.1,FeMo cofactor biosynthesis protein NifB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40025.1,hypothetical protein CPARK_000086500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40024.1,hypothetical protein CPARK_000086400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40023.1,2-isopropylmalate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40022.1,hypothetical protein CPARK_000086200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40021.1,hypothetical protein CPARK_000086100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40020.1,hypothetical protein CPARK_000086000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40019.1,cytochrome b6-f complex subunit 7 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40018.1,D-threonate 4-phosphate dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40017.1,modification methylase DpnIIA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40016.1,GTPase Era [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40015.1,hypothetical protein CPARK_000085500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40014.1,undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40013.1,ribosomal large subunit pseudouridine synthase B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40012.1,hypothetical protein CPARK_000085200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40011.1,hypothetical protein CPARK_000085100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40010.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40009.1,glycine cleavage system H protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40008.1,carbamoyltransferase HypF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40007.1,hypothetical protein CPARK_000084700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40006.1,hypothetical protein CPARK_000084600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40005.1,putative PIN and TRAM-domain containing protein YacL [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40004.1,pyridoxine/pyridoxamine 5'-phosphate oxidase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40003.1,DNA-directed RNA polymerase subunit beta' [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40002.1,DNA-directed RNA polymerase subunit beta [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40001.1,30S ribosomal protein S20 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40000.1,hypothetical protein CPARK_000084000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39999.1,hydrogenase maturation factor HybF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39998.1,hydrogenase maturation factor HypB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39997.1,N-acetylgalactosamine-6-phosphate deacetylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39996.1,anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39995.1,aldehyde decarbonylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39994.1,long-chain acyl-[acyl-carrier-protein] reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39993.1,demethylphylloquinone reductase NdbB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39992.1,queuine tRNA-ribosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39991.1,glutamate-1-semialdehyde 2
BDA39990.1,primosomal protein N' [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39989.1,1
BDA39988.1,Transcriptional regulatory protein WalR [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39987.1,DNA mismatch repair protein MutL [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39986.1,N(1)-aminopropylagmatine ureohydrolase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39985.1,polyamine aminopropyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39984.1,biosynthetic arginine decarboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39983.1,ribosomal large subunit pseudouridine synthase D [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39982.1,NADPH-dependent 7-cyano-7-deazaguanine reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39981.1,hypothetical protein CPARK_000082100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39980.1,hypothetical protein CPARK_000082000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39979.1,hypothetical protein CPARK_000081900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39978.1,transcription regulator LexA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39977.1,ATP-dependent Clp protease ATP-binding subunit ClpX [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39976.1,ATP-dependent Clp protease proteolytic subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39975.1,3-dehydroquinate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39974.1,iron uptake protein A1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39973.1,30S ribosomal protein S21 A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39972.1,hypothetical protein CPARK_000081200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39971.1,hypothetical protein CPARK_000081100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39970.1,hypothetical protein CPARK_000081000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39969.1,hydrogenase maturation factor HybG [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39968.1,hypothetical protein CPARK_000080800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39967.1,photosystem I reaction center subunit XI [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39966.1,putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39965.1,putative pre-16S rRNA nuclease [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39964.1,hypothetical protein CPARK_000080400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39963.1,ribosomal RNA small subunit methyltransferase G [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39962.1,hypothetical protein CPARK_000080200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39961.1,hypothetical protein CPARK_000080100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39960.1,sirohydrochlorin cobaltochelatase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39959.1,dihydropteroate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39958.1,triosephosphate isomerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39957.1,hypothetical protein CPARK_000079700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39956.1,hypothetical protein CPARK_000079600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39955.1,ferredoxin--NADP reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39954.1,ATP-dependent dethiobiotin synthetase BioD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39953.1,arginine--tRNA ligase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39952.1,hypothetical protein CPARK_000079200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39951.1,heme A synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39950.1,protoheme IX farnesyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39949.1,hypothetical protein CPARK_000078900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39948.1,ribosome biogenesis GTPase A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39947.1,Ycf53-like protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39946.1,putative glycosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39945.1,hypothetical protein CPARK_000078500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39944.1,salicylate biosynthesis isochorismate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39943.1,1
BDA39942.1,hypothetical protein CPARK_000078200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39941.1,glucosylglycerol-phosphate phosphatase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39940.1,hypothetical protein CPARK_000078000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39939.1,light-independent protochlorophyllide reductase subunit B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39938.1,GTPase Der [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39937.1,carbamoyl-phosphate synthase large chain [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39936.1,hypothetical protein CPARK_000077600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39935.1,cell division protein FtsZ [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39934.1,hypothetical protein CPARK_000077400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39933.1,hypothetical protein CPARK_000077300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39932.1,hypothetical protein CPARK_000077200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39931.1,hypothetical protein CPARK_000077100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39930.1,NAD(P)H-quinone oxidoreductase chain 4 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39929.1,stage V sporulation protein D [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39928.1,mannose-1-phosphate guanylyltransferase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39927.1,chaperone protein ClpB 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39926.1,2-C-methyl-D-erythritol 2
BDA39925.1,GDP-mannose-dependent alpha-mannosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39924.1,riboflavin biosynthesis protein RibF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39923.1,DNA topoisomerase 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39922.1,hypothetical protein CPARK_000076200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39921.1,30S ribosomal protein S2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39920.1,elongation factor Ts [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39919.1,hypothetical protein CPARK_000075900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39918.1,hypothetical protein CPARK_000075800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39917.1,diaminopimelate epimerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39916.1,hypothetical protein CPARK_000075600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39915.1,hypothetical protein CPARK_000075500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39914.1,metalloprotease TldD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39913.1,cysteine desulfurase IscS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39912.1,hypothetical protein CPARK_000075200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39911.1,NADH-quinone oxidoreductase subunit N [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39910.1,tRNA-specific 2-thiouridylase MnmA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39909.1,hypothetical protein CPARK_000074900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39908.1,hypothetical protein CPARK_000074800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39907.1,hypothetical protein CPARK_000074700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39906.1,NADH dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39905.1,polyribonucleotide nucleotidyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39904.1,hypothetical protein CPARK_000074400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39903.1,peroxiredoxin [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39902.1,adenine phosphoribosyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39901.1,glutathione transport system permease protein GsiC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39900.1,hypothetical protein CPARK_000074000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39899.1,K(+)/H(+) antiporter NhaP2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39898.1,hypothetical protein CPARK_000073800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39897.1,siroheme synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39896.1,glycine dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39895.1,hypothetical protein CPARK_000073500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39894.1,peptidoglycan D
BDA39893.1,hypothetical protein CPARK_000073300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39892.1,hypothetical protein CPARK_000073200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39891.1,adaptive-response sensory-kinase SasA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39890.1,biotin carboxylase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39889.1,FK506-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39888.1,hypothetical protein CPARK_000072800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39887.1,hypothetical protein CPARK_000072700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39886.1,hypothetical protein CPARK_000072600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39885.1,hypothetical protein CPARK_000072500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39884.1,glucosylglycerol-phosphate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39883.1,cytochrome b6-f complex iron-sulfur subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39882.1,cytochrome f [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39881.1,hypothetical protein CPARK_000072100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39880.1,hypothetical protein CPARK_000072000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39879.1,hypothetical protein CPARK_000071900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39878.1,30S ribosomal protein S14 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39877.1,leucyl/phenylalanyl-tRNA--protein transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39876.1,Phytol kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39875.1,hypothetical protein CPARK_000071500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39874.1,protein kinase UbiB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39873.1,replicative DNA helicase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39872.1,DNA replication and repair protein RecF [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39871.1,hypothetical protein CPARK_000071100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39870.1,protein kinase UbiB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39869.1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39868.1,hypothetical protein CPARK_000070800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39867.1,hypothetical protein CPARK_000070700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39866.1,hypothetical protein CPARK_000070600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39865.1,vitamin K epoxide reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39864.1,hypothetical protein CPARK_000070400 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39863.1,hypothetical protein CPARK_000070300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39862.1,hypothetical protein CPARK_000070200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39861.1,hypothetical protein CPARK_000070100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39860.1,putative serine protease HhoA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39859.1,NAD(P)H-quinone oxidoreductase subunit O [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39858.1,hypothetical protein CPARK_000069800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39857.1,hypothetical protein CPARK_000069700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39856.1,hypothetical protein CPARK_000069600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39855.1,ribose-phosphate pyrophosphokinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39854.1,dihydrolipoyl dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39853.1,hypothetical protein CPARK_000069300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39852.1,ribonucleoside-diphosphate reductase 1 subunit alpha [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39851.1,hypothetical protein CPARK_000069100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39850.1,elongation factor G 1 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39849.1,hypothetical protein CPARK_000068900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39848.1,hypothetical protein CPARK_000068800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39847.1,phosphate-binding protein PstS [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39846.1,phosphate transport system permease protein PstC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39845.1,phosphate transport system permease protein PstA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39844.1,phosphate import ATP-binding protein PstB 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39843.1,phosphate import ATP-binding protein PstB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39842.1,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39841.1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39840.1,soluble hydrogenase 42 kDa subunit [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39839.1,ribosomal RNA small subunit methyltransferase A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39838.1,hypothetical protein CPARK_000067800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39837.1,hypothetical protein CPARK_000067700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39836.1,dodecaprenyl-phosphate galacturonate synthase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39835.1,hypothetical protein CPARK_000067500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39834.1,60 kDa chaperonin 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39833.1,crossover junction endodeoxyribonuclease RuvC [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39832.1,H(+)/Cl(-) exchange transporter ClcA [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39831.1,homoserine dehydrogenase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39830.1,translation initiation factor IF-3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39829.1,hypothetical protein CPARK_000066900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39828.1,epoxyqueuosine reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39827.1,hypothetical protein CPARK_000066700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39826.1,thiamine-monophosphate kinase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39825.1,glutathione transport system permease protein GsiD [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39824.1,NAD(P)H-quinone oxidoreductase subunit M [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39823.1,inorganic pyrophosphatase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39822.1,single-stranded DNA-binding protein [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39821.1,hypothetical protein CPARK_000066100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39820.1,fructose-bisphosphate aldolase class 2 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39819.1,UvrABC system protein A [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA39818.1,S-adenosylmethionine:tRNA ribosyltransferase-isomerase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
